gene	mid	chrom	start	end
DDX11L1	13139	1	11867	14411
OR4F5	68502	1	65419	71585
AL627309.1	137140	1	134901	139379
OR4F29	368137	1	367640	368634
U1	8872647	1	544946	17200348
RP5-857K21.5	563573.5	1	562755	564392
OR4F16	621556	1	621059	622053
RP5-857K21.4	651151	1	646720	655582
RP11-206L10.2	707121.5	1	700235	714008
RP11-206L10.9	722116	1	721178	723054
RP11-206L10.8	740900	1	736257	745543
AL669831.1	738834.5	1	738532	739137
FAM87B	753982.5	1	752749	755216
LINC00115	762244	1	761584	762904
LINC01128	778907	1	762986	794828
AL645608.2	819013	1	818043	819983
RP11-54O7.16	845785	1	840212	851358
SAMD11	869634.5	1	859308	879961
AL645608.1	863854.5	1	861264	866445
NOC2L	887136.5	1	879584	894689
KLHL17	898531	1	895967	901095
PLEKHN1	906561	1	901877	911245
C1orf170	914038	1	910577	917499
PERM1	914028.5	1	910584	917473
HES4	934947	1	934342	935552
ISG15	943219	1	936518	949920
AGRN	973500.5	1	955503	991498
RNF223	1008016.5	1	1006346	1009687
C1orf159	1034469.5	1	1017198	1051741
RP11-465B22.5	1075916.5	1	1072395	1079438
TTLL10	1121289.5	1	1109264	1133315
TNFRSF18	1140479.5	1	1138888	1142071
TNFRSF4	1148112	1	1146706	1149518
SDF4	1159849.5	1	1152288	1167411
B3GALT6	1169013.5	1	1167606	1170421
C1QTNF12	1179964	1	1177826	1182102
FAM132A	1179967.5	1	1177831	1182104
snoU13	75491185.5	1	1186751	149795620
UBE2J2	1199277	1	1189289	1209265
SCNN1D	1221612.5	1	1215816	1227409
ACAP3	1236372.5	1	1227756	1244989
PUSL1	1245502	1	1243947	1247057
INTS11	1253518	1	1246965	1260071
CPSF3L	1253487.5	1	1246984	1259991
CPTP	1262206.5	1	1260136	1264277
GLTPD1	1262212	1	1260145	1264279
TAS1R3	1268690	1	1266694	1270686
DVL1	1277693	1	1270656	1284730
MXRA8	1292613	1	1288069	1297157
AURKAIP1	1309992.5	1	1309110	1310875
CCNL2	1327899.5	1	1321091	1334708
RP4-758J18.2	1335684.5	1	1334900	1336469
MRPL20	1339990.5	1	1337288	1342693
ANKRD65	1355474.5	1	1353800	1357149
TMEM88B	1362337.5	1	1361508	1363167
VWA1	1374251.5	1	1370241	1378262
ATAD3C	1395303.5	1	1385069	1405538
ATAD3B	1420188.5	1	1407149	1433228
ATAD3A	1458799	1	1447531	1470067
TMEM240	1473193.5	1	1470554	1475833
SSU72	1493651	1	1477053	1510249
FNDC10	1534434	1	1533392	1535476
MIB2	1558392.5	1	1550795	1565990
MMP23B	1569056.5	1	1567474	1570639
CDK11B	1580538	1	1570603	1590473
SLC35E2B	1607578.5	1	1590990	1624167
CDK11A	1644966	1	1634169	1655763
SLC35E2A	1666857.5	1	1656277	1677438
SLC35E2	1670556	1	1663679	1677433
NADK	1697283.5	1	1682671	1711896
GNB1	1769640	1	1716724	1822556
CALML6	1847500.5	1	1846266	1848735
TMEM52	1849870.5	1	1849029	1850712
CFAP74	1894333	1	1853390	1935276
C1orf222	1927358	1	1919561	1935155
GABRD	1956467	1	1950737	1962197
PRKCZ	2049371.5	1	1981909	2116834
FAAP20	2130029.5	1	2115900	2144159
C1orf86	2125707	1	2120985	2130429
AL590822.2	2122208	1	2121237	2123179
AL590822.1	2144490	1	2143360	2145620
SKI	2200846	1	2160134	2241558
MORN1	2287919	1	2252692	2323146
AL589739.1	2258811.5	1	2258581	2259042
RER1	2330048.5	1	2323214	2336883
PEX10	2340319.5	1	2335403	2345236
PLCH2	2397194	1	2357419	2436969
PANK4	2449019.5	1	2439972	2458067
HES5	2460934	1	2460184	2461684
TNFRSF14	2491949.5	1	2487078	2496821
PRXL2B	2520419	1	2517930	2522908
FAM213B	2520560.5	1	2518212	2522909
MMEL1	2543253.5	1	2522078	2564429
TTC34	2642848.5	1	2567415	2718282
ACTRT2	2938757	1	2938047	2939467
LINC00982	2978264.5	1	2976177	2980352
PRDM16	3170458.5	1	2985732	3355185
ARHGEF16	3384333.5	1	3370990	3397677
MEGF6	3467271.5	1	3406484	3528059
TPRG1L	3544128.5	1	3541566	3546691
WRAP73	3558328	1	3547331	3569325
TP73	3610924.5	1	3569084	3652765
TP73-AS1	3658217	1	3652546	3663888
CCDC27	3675616.5	1	3663024	3688209
SMIM1	3690935.5	1	3689325	3692546
LRRC47	3704095	1	3695122	3713068
CEP104	3751211.5	1	3728645	3773778
DFFB	3787912	1	3773831	3801993
C1orf174	3811273	1	3805689	3816857
RP1-37J18.2	4637544.5	1	4631606	4643483
AJAP1	4783693	1	4714792	4852594
NPHP4	5987702	1	5922871	6052533
KCNAB2	6106389.5	1	6051526	6161253
AL035406.1	6101014.5	1	6100630	6101399
CHD5	6201018	1	6161853	6240183
AL031847.2	6238653.5	1	6219490	6257817
RPL22	6257264.5	1	6245080	6269449
RNF207	6273447	1	6265535	6281359
ICMT	6288642.5	1	6281253	6296032
HES3	6304945	1	6304252	6305638
GPR153	6314220.5	1	6307406	6321035
ACOT7	6389390	1	6324329	6454451
HES2	6478604	1	6472478	6484730
ESPN	6503131.5	1	6484836	6521427
TNFRSF25	6523550.5	1	6520846	6526255
PLEKHG5	6553136.5	1	6526152	6580121
NOL9	6598001	1	6581407	6614595
TAS1R1	6627529	1	6615241	6639817
